"bearing","range","edge","area"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
"-14.02","17.39","12.82","164"
