"bearing","range","edge","area"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
"-27.6","14.8","15.06","224"
