"pc","brain","x","y","h","imu","innovation","step","hstep","range","dr","tag","reject","lidar"
"1783753384.00862","34314","17.63","44.1","146.23","146.23","0.33","0","0","16.22","0.33","3","correction_wait","fit"
"1783753384.56959","34854","17.63","44.1","146.24","146.24","0.09","0","0","16.46","0.09","3","correction_wait","fit"
"1783753385.19426","35454","17.63","44.1","146.23","146.23","0.09","0","0","16.46","0.09","3","correction_wait","fit"
"1783753385.69519","35994","17.63","44.1","146.23","146.23","0.09","0","0","16.46","0.09","3","correction_wait","fit"
"1783753386.12943","36414","17.63","44.1","146.23","146.23","0.09","0","0","16.46","0.09","3","correction_wait","fit"
"1783753386.69192","36954","17.63","44.1","146.23","146.23","0.09","0","0","16.46","0.09","3","correction_wait","fit"
"1783753387.25078","37554","17.63","44.1","146.23","146.23","0.09","0","0","16.46","0.09","3","correction_wait","fit"
"1783753387.75177","38034","17.63","44.1","146.23","146.23","0.09","0","0","16.46","0.09","3","correction_wait","fit"
"1783753388.18611","38454","17.63","44.1","146.23","146.23","0.33","0","0","16.22","0.33","3","correction_wait","fit"
"1783753388.62284","38994","17.59","44.08","146.23","146.23","0.13","0","0","16.46","0.13","3","correction_wait","fit"
"1783753389.12088","39414","17.62","44.1","146.24","146.24","0.1","0","0","16.46","0.1","3","correction_wait","fit"
"1783753389.80845","40014","17.62","44.1","146.23","146.23","0.1","0","0","16.46","0.1","3","correction_wait","fit"
"1783753390.30509","40554","17.62","44.1","146.23","146.23","0.1","0","0","16.46","0.1","3","correction_wait","fit"
"1783753390.80555","41094","17.62","44.1","146.23","146.23","0.1","0","0","16.46","0.1","3","correction_wait","fit"
"1783753391.3039","41514","17.62","44.1","146.23","146.23","0.1","0","0","16.46","0.1","3","correction_wait","fit"
"1783753391.80263","42114","17.69","44.14","146.23","146.23","0.02","0","0","16.46","0.01","3","correction_wait","fit"
"1783753392.36351","42654","17.69","44.14","146.23","146.23","0.01","0","0","16.46","0.01","3","correction_wait","fit"
"1783753392.86042","43134","17.69","44.14","146.23","146.23","0.02","0","0","16.46","0.01","3","correction_wait","fit"
"1783753393.2959","43614","17.69","44.14","146.24","146.24","0.02","0","0","16.46","0.01","3","correction_wait","fit"
