"bearing","edge","range","area"
"-19.99","14.55","10.94","211"
"-19.99","14.55","10.94","211"
"-19.99","14.55","10.94","211"
"-19.99","14.55","10.94","211"
"-19.99","14.55","10.94","211"
"-19.99","14.55","10.94","211"
"-19.99","14.55","10.94","211"
"-19.99","14.55","10.94","211"
"-19.99","14.55","10.94","211"
"-19.99","14.55","10.94","211"
"-19.99","14.55","10.94","211"
"-19.99","14.55","10.94","211"
"-19.99","14.55","10.94","211"
"-19.99","14.55","10.94","211"
"-19.99","14.28","11.16","203.5"
"-19.99","14.28","11.16","203.5"
"-19.99","14.55","10.94","211"
"-19.99","14.55","10.94","211"
"-19.99","14.55","10.94","211"
"-19.99","14.55","10.94","211"
"-19.99","14.55","10.94","211"
"-19.99","14.55","10.94","211"
"-19.99","14.55","10.94","211"
"-19.99","14.55","10.94","211"
"-19.99","14.55","10.94","211"
"-19.99","14.55","10.94","211"
"-19.99","14.28","11.16","203.5"
"-19.99","14.55","10.94","211"
"-19.99","14.55","10.94","211"
"-19.99","14.55","10.94","211"
