"bearing","edge","range","area"
"-26.91","14.82","10.74","218"
"-26.96","15.06","10.57","224"
"-26.91","14.82","10.74","218"
"-26.91","14.82","10.74","218"
"-26.96","15.06","10.57","224"
"-26.96","15.06","10.57","224"
"-26.96","15.06","10.57","224"
"-26.91","14.82","10.74","216"
"-26.96","15.06","10.57","224"
"-26.96","15.06","10.57","224"
"-26.91","14.82","10.74","218"
"-26.91","14.82","10.74","216"
"-26.96","15.06","10.57","224"
"-26.91","14.82","10.74","218"
"-26.96","15.06","10.57","224"
"-26.91","14.82","10.74","218"
"-26.96","15.06","10.57","224"
"-26.96","15.06","10.57","224"
"-26.96","15.06","10.57","224"
"-26.96","15.06","10.57","224"
"-26.96","15.06","10.57","224"
"-26.91","14.82","10.74","218"
"-26.91","14.82","10.74","218"
"-26.91","14.82","10.74","218"
"-26.91","14.82","10.74","216"
"-26.91","14.82","10.74","218"
"-26.91","14.82","10.74","218"
"-26.96","15.06","10.57","224"
"-26.96","15.06","10.57","224"
"-26.96","15.06","10.57","224"
