"brain","x","y","h","innovation","pos_step","heading_step","residual","dr","reject"
"165904","17.02","43.77","146.22",,,,"0.02","0.78","shadow_valid"
"165904","17.02","43.77","146.22",,,,"0.02","0.78","shadow_valid"
"165904","17.02","43.77","146.22",,,,"0.02","0.78","shadow_valid"
"165904","17.02","43.77","146.22",,,,"0.02","0.78","shadow_valid"
"165904","17.02","43.77","146.22",,,,"0.02","0.78","shadow_valid"
"165904","17.02","43.77","146.22",,,,"0.02","0.78","shadow_valid"
"2763","17.19","43.86","146.22",,,,"0.02","0.59","correction_wait"
"3063","17.19","43.86","146.22",,,,"0.02","0.59","correction_wait"
"3543","17.32","43.93","146.22",,,,"0.01","0.44","correction_wait"
"3903","17.42","43.98","146.22",,,,"0.01","0.33","correction_wait"
"4323","17.49","44.02","146.22",,,,"0.01","0.25","correction_wait"
"4623","17.49","44.02","146.22",,,,"0.01","0.25","correction_wait"
"5163","17.55","44.05","146.22",,,,"0.0","0.19","correction_wait"
"5523","17.59","44.07","146.21",,,,"0.0","0.14","correction_wait"
"6003","17.62","44.09","146.21",,,,"0.0","0.1","correction_wait"
"6363","17.64","44.1","146.22",,,,"0.0","0.08","correction_wait"
"6723","17.66","44.11","146.22",,,,"0.0","0.06","correction_wait"
"7203","17.66","44.11","146.21",,,,"0.0","0.06","correction_wait"
"7563","17.67","44.12","146.21",,,,"0.0","0.04","correction_wait"
"7923","17.68","44.12","146.21",,,,"0.0","0.03","correction_wait"
"8403","17.69","44.13","146.21",,,,"0.0","0.02","correction_wait"
"8763","17.69","44.13","146.22",,,,"0.0","0.02","correction_wait"
"9123","17.69","44.13","146.21",,,,"0.05","0.26","correction_wait"
"9663","17.75","44.16","146.22",,,,"0.01","0.05","correction_wait"
"10023","17.74","44.16","146.22",,,,"0.01","0.03","correction_wait"
